term,count
2,7506
4,6369
1,6342
3,5928
5,4866
9,4742
8,3888
b,3886
s,3757
01,3615
7,3573
6,3559
09,2243
03,1962
092,1919
823,1850
658.4,1711
02,1667
92,1631
510,1625
515,1590
821,1520
08,1401
04,1323
809,1322
12,1276
512,1225
843,1171
720,1156
658.8,1149
0973,1124
0924,1047
340,1040
822,1021
813,1003
937,990
914,986
709,977
14,969
912,919
863,916
54,895
07,881
42,881
370,868
05,838
519.5,833
944,829
22,788
415,778
791.43,778
547,774
330,768
028,759
530.1,750
938,746
401,737
410,723
539.7,712
841,706
52,701
658,700
06,695
294.3,670
094,669
780,666
658.3,664
700,661
930,657
301,633
610,633
910,629
839.31,623
32,621
833,618
943,618
540,614
35,610
62,603
43,596
620.1,591
792,591
541,588
72,587
574.5,577
808,577
193,576
41,576
530,576
822.3,572
418,569
306,559
543,557
73,553
615,550
631.4,550
330.9,548
300,546
909,541
930.1,534
001,533
33,533
382,527
303.48,526
44,521
302.23,520
21,514
939,511
82,510
24,506
320.9,506
0942,503
940.1,498
338.1,496
64,489
0941,482
658.5,478
194,475
042,465
009,461
11,461
320,461
820.9,452
511,451
150,450
51,441
55,439
940.2,439
003,437
612,432
15,431
0944,423
23,423
13,420
636.089,415
880,413
973,405
338.4,404
900,402
620,397
660,397
811,397
297,396
801,395
95,393
333.7,391
616.8,391
830,390
ukp,389
932,387
848,377
551.4,374
616.89,374
530.4,373
831,372
664,370
822.33,370
309.1,368
36,365
616.07,364
306.44,363
882,363
572,361
574,356
012,354
519.2,354
53,353
945,353
800,350
230,349
100,346
630,346
951,346
629.8,345
327,344
34,344
362.1,344
45,344
121,343
400,343
842,343
304.2,342
28,340
830.9,337
355,335
531,335
871,332
500,331
574.1,331
170,327
332.4,326
576,326
574.87,325
94,325
346,324
378.1,324
851,324
200,322
006.3,321
492,320
947,320
306.4,319
84,319
517,318
820,318
305.8,317
828,317
299,316
599,316
657,316
004,314
282,313
332,312
940,312
0943,309
353,309
364,309
616,309
574.8,308
341,306
574.19,306
935,305
552,304
632,304
480,302
516,302
901,302
946,301
008,299
83,298
75,297
440,296
496,296
501,295
338.9,292
514,292
624,292
840,292
519,291
550,290
37,288
551.5,288
128,287
174,285
511.3,285
181,283
838,283
93,283
541.3,282
85,280
942,278
17,277
71,277
509,276
25,274
0285,273
307.76,273
618.92,273
624.1,273
839.3635,272
883,271
430,269
27,267
332.1,267
546,267
302.2,266
305.5,264
741.5,264
74,262
271,261
523.1,261
38,259
949.5,259
551,258
63,257
936.3,257
342,256
709.2,256
338,255
853,255
535,254
19,253
31,253
363.7,252
616.9,252
285,251
160,249
304.6,248
378,248
523.8,248
551.7,248
270,247
617,246
007,243
072,243
341.242,243
425,243
621.381,243
621.36,242
91,240
612.8,239
936.4,239
724.6,237
701,236
18,235
560,235
720.92,235
548,233
956,233
873,230
575.1,229
913,229
320.1,228
001.4,227
070.4,225
81,225
658.1,224
940.53,224
621.3815,223
005.13,222
398.2,222
305.42,221
428,221
779,221
082,220
520,220
78,219
960,219
302,217
305.4,217
658.15,217
345,216
192,215
301.2,215
303.6,215
322,215
343,215
711,215
330.1,214
370.1,214
111,213
005.1,211
840.9,210
839.3615,209
370.15,208
570,208
572.8,208
861,208
0904,207
0951,207
616.85,206
833.91,206
306.3,205
634.9,205
0947,204
581.1,204
301.5,203
16,202
57,202
096,201
222,201
312,201
307.1,200
895.1,199
016,198
907,198
96,198
68,197
809.3,197
924,197
201,196
335,196
551.3,196
616.1,196
516.3,195
810.9,194
ukd,194
302.3,193
47,193
153,192
532,192
628.5,192
292,191
341.4,191
398,191
0938,190
730,190
301.44,189
950,189
320.5,188
519.4,188
325,187
445,186
61,186
933,186
870,185
294.5,184
370.19,184
26,183
669,183
720.1,183
015,182
782.1,182
940.5,181
541.2,180
615.9,179
724,179
891.7,179
98,179
39,178
56,178
954,178
184,177
323,177
190,175
381,175
515.3,175
67,175
014,174
530.12,174
595.7,174
034,172
155.2,172
659.1,172
022,171
340.5,171
414,171
58,171
631.5,171
65,171
732,171
881,171
949.3,170
327.1,169
493,169
580,169
044,168
074,168
551.6,168
303.3,167
658.7,167
952,167
020,166
581.5,166
621.38,166
0922,165
171,165
352,165
577,165
591.5,165
301.29,164
537.6,164
704.9,164
538,163
5195,162
575,162
936,162
083,161
523.01,161
596,161
611,161
818,161
581,160
895.6,160
421,159
839.363,159
936.2,159
76,158
622,156
928.2,156
301.41,155
371.3,155
46,155
582,155
709.04,155
823.91,155
041,154
338.91,154
549,154
759.4,154
868,154
891,154
97,153
435,152
832,152
913.3,152
033,151
874,151
914.2,151
920,150
726,149
860.9,149
09034,148
327.73,148
536,148
843.91,148
0902,147
270.1,147
609,147
812,147
031,146
091,146
880.9,146
941,146
076,145
539,145
071,144
301.3,144
301.36,144
911,144
045,143
073,143
551.46,143
0954,142
508,142
628,142
759.5,142
024,141
320.01,141
333.79,141
780.92,141
0109,140
025,140
364.1,140
465,140
591.1,140
309.2,139
968,139
021,138
052,138
063,138
189,138
365,138
712,138
809.2,138
043,137
91209,137
013,136
182,136
333.95,136
547.7,136
66,136
728,136
427,135
579,135
617.7,135
88,135
949.2,135
038,134
0952,134
112,134
150.19,134
306.76,134
616.99,134
660.2,134
331,133
336.2,133
338.5,133
628.1,133
86,133
262,132
281,132
305,132
301.32,131
553,131
011,130
068,130
491,130
512.9,130
576.8,130
614.4,130
621.3,130
180,129
338.8,129
371.9,129
420,129
635,129
891.8,129
936.6,129
172,128
209,128
332.6,128
337,128
522,128
760,128
823.914,128
349,127
781,127
069,126
306.7,126
371.2,126
417,126
437,126
526,126
621.382,126
677,126
152.4,125
270.2,125
29,125
589.9,125
907.2,125
001.6,124
098,124
621.48,124
770,124
091724,123
224,123
333.3,123
725,123
264,122
273,122
523,122
738.3,122
809.1,122
91409,122
085,121
223,121
300.72,121
333.91,121
944.04,121
967,121
0937,120
384,120
023,119
0724,119
344,119
423,119
850,119
884,119
972,119
513,118
839.31071,118
226,117
341.6,117
301.15,116
338.2,116
515.7,116
810,116
892,116
321,115
598.2,115
614,115
737.4,115
48,114
633,114
872,114
110,113
155.4,113
174.2,113
829,113
09493,112
303.4,112
592,112
808.1,112
839.7,112
321.8,111
791.45,111
860,111
942.01,111
966,111
301.45,110
304.8,110
00973,109
049,109
708,109
467,108
0945,107
1209,107
347,107
378.73,107
627,107
791,107
947.084,107
070.5,106
338.7,106
418.02,106
616.3,106
929.4,106
980,106
407,105
439,105
571.6,105
733,105
0072,103
032,103
291,103
307.7,103
338.6,103
341.2422,103
341.5,103
341.7,103
447,103
636,103
745.4,103
002,102
051,102
615.8,102
700.411,102
87,102
005,101
133.4,101
296,101
361,101
650.1,101
759.9493,101
824,101
869.1,101
878,101
888,101
001.64,100
301.42,100
339.4,100
519.7,100
89,100
09172,99
113,99
409,99
526.9,99
616.7,99
636.7,99
862,99
962,99
09045,98
142,98
305.3,98
322.4,98
412,98
723,98
956.94,98
006.6,97
0968,97
363.738,97
374,97
544,97
737,97
909.82,97
939.4,97
0913,96
306.09,96
306.2,96
537,96
759.9492,96
09033,95
301.24,95
335.43,95
362.2,95
363.2,95
371.1,95
573.2,95
617.9,95
621.31,95
927,95
158.7,94
208,94
491.8,94
494,94
530.11,94
849,94
936.1,94
940.3,94
064,93
590,93
915,93
179,92
335.4,92
428.2,92
530.15,92
576.5,92
591,92
612.6,92
745.6,92
005.4,91
026,91
066,91
340.1,91
914.4,91
943.086,91
fic,91
0092,90
089,90
115,90
186,90
296.1,90
390,90
392,90
418.0071,90
507,90
551.48,90
616.2,90
909.07,90
095,89
232,89
346.04,89
354,89
358,89
499,89
001.3,88
093,88
0946,88
329,88
341.2,88
597,88
77,88
792.8,88
794.8,88
844,88
109,87
227,87
323.4,87
341.24,87
362.7,87
380.1,87
551.8,87
891.73,87
925,87
233,86
242,86
301.31,86
229,85
330.94,85
537.5,85
545,85
616.4,85
686.2,85
917.3,85
940.54,85
002.09,84
0967,84
149,84
191,84
202,84
351,84
363.6,84
443,84
5118,84
517.5,84
59,84
617.6,84
621.402,84
746,84
956.1,84
